mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_C,param_class_weight,param_l1_ratio,param_max_iter,param_multi_class,param_penalty,param_solver,params,split0_test_score,split1_test_score,split2_test_score,mean_test_score,std_test_score,rank_test_score
0.005866607030232747,0.002306073190209412,0.0014243920644124348,0.00018930788834922675,0.1,,0.5,500,ovr,elasticnet,saga,"{'C': 0.1, 'class_weight': None, 'l1_ratio': 0.5, 'max_iter': 500, 'multi_class': 'ovr', 'penalty': 'elasticnet', 'solver': 'saga'}",0.50187265917603,0.5205992509363296,0.5526315789473685,0.5250344963532427,0.020958220909219703,1
0.0026461283365885415,0.0010863125162889676,0.0012979507446289062,4.323732599842703e-05,10.0,,,500,ovr,l1,liblinear,"{'C': 10, 'class_weight': None, 'l1_ratio': None, 'max_iter': 500, 'multi_class': 'ovr', 'penalty': 'l1', 'solver': 'liblinear'}",0.5093632958801498,0.5318352059925093,0.5300751879699248,0.5237578966141946,0.01020384939061001,2
0.00198213259379069,0.00014373224206477638,0.0016385714213053386,0.0006013688030326476,10.0,,0.5,500,ovr,l1,liblinear,"{'C': 10, 'class_weight': None, 'l1_ratio': 0.5, 'max_iter': 500, 'multi_class': 'ovr', 'penalty': 'l1', 'solver': 'liblinear'}",0.5093632958801498,0.5318352059925093,0.5300751879699248,0.5237578966141946,0.01020384939061001,2
0.003121534983317057,0.0017920618938090272,0.0012159347534179688,5.4131344441547964e-05,1.0,,0.5,500,ovr,l2,liblinear,"{'C': 1, 'class_weight': None, 'l1_ratio': 0.5, 'max_iter': 500, 'multi_class': 'ovr', 'penalty': 'l2', 'solver': 'liblinear'}",0.5093632958801498,0.5355805243445693,0.5263157894736842,0.5237532032328011,0.010855441132457141,4
0.00293119748433431,0.00015109849425317277,0.0017365614573160808,0.0007877002593081588,1.0,,,500,ovr,l2,saga,"{'C': 1, 'class_weight': None, 'l1_ratio': None, 'max_iter': 500, 'multi_class': 'ovr', 'penalty': 'l2', 'solver': 'saga'}",0.5093632958801498,0.5355805243445693,0.5263157894736842,0.5237532032328011,0.010855441132457141,4
0.001945813496907552,0.00046017109499835635,0.0015498002370198567,0.0004864081955539755,1.0,,,500,ovr,l2,liblinear,"{'C': 1, 'class_weight': None, 'l1_ratio': None, 'max_iter': 500, 'multi_class': 'ovr', 'penalty': 'l2', 'solver': 'liblinear'}",0.5093632958801498,0.5355805243445693,0.5263157894736842,0.5237532032328011,0.010855441132457141,4
0.0040730635325113935,0.0011776238257422212,0.0015464623769124348,0.00043693569709200657,10.0,,0.5,500,ovr,elasticnet,saga,"{'C': 10, 'class_weight': None, 'l1_ratio': 0.5, 'max_iter': 500, 'multi_class': 'ovr', 'penalty': 'elasticnet', 'solver': 'saga'}",0.5093632958801498,0.5355805243445693,0.5263157894736842,0.5237532032328011,0.010855441132457141,4
0.002351045608520508,0.0008859672253736225,0.002323786417643229,0.0017341469203554596,10.0,,,500,ovr,l2,liblinear,"{'C': 10, 'class_weight': None, 'l1_ratio': None, 'max_iter': 500, 'multi_class': 'ovr', 'penalty': 'l2', 'solver': 'liblinear'}",0.5093632958801498,0.5355805243445693,0.5263157894736842,0.5237532032328011,0.010855441132457141,4
0.0030171871185302734,0.0003026239050942801,0.0020615259806315103,0.00088470600242313,10.0,,,500,ovr,l2,saga,"{'C': 10, 'class_weight': None, 'l1_ratio': None, 'max_iter': 500, 'multi_class': 'ovr', 'penalty': 'l2', 'solver': 'saga'}",0.5093632958801498,0.5355805243445693,0.5263157894736842,0.5237532032328011,0.010855441132457141,4
0.001817464828491211,0.00017931328033623335,0.001281420389811198,8.768799236816739e-05,10.0,,0.5,500,ovr,l2,liblinear,"{'C': 10, 'class_weight': None, 'l1_ratio': 0.5, 'max_iter': 500, 'multi_class': 'ovr', 'penalty': 'l2', 'solver': 'liblinear'}",0.5093632958801498,0.5355805243445693,0.5263157894736842,0.5237532032328011,0.010855441132457141,4
0.002657731374104818,0.0002184897251968412,0.001569827397664388,0.00041081812744174457,1.0,,0.5,500,ovr,l2,saga,"{'C': 1, 'class_weight': None, 'l1_ratio': 0.5, 'max_iter': 500, 'multi_class': 'ovr', 'penalty': 'l2', 'solver': 'saga'}",0.5093632958801498,0.5355805243445693,0.5263157894736842,0.5237532032328011,0.010855441132457141,4
0.002781947453816732,0.0002109189633501844,0.0014031728108723958,9.126509022160462e-05,10.0,,0.5,500,ovr,l2,saga,"{'C': 10, 'class_weight': None, 'l1_ratio': 0.5, 'max_iter': 500, 'multi_class': 'ovr', 'penalty': 'l2', 'solver': 'saga'}",0.5093632958801498,0.5355805243445693,0.5263157894736842,0.5237532032328011,0.010855441132457141,4
0.003821134567260742,0.00143979731693996,0.0015057722727457683,0.000137515699218841,10.0,,0.5,500,ovr,l1,saga,"{'C': 10, 'class_weight': None, 'l1_ratio': 0.5, 'max_iter': 500, 'multi_class': 'ovr', 'penalty': 'l1', 'solver': 'saga'}",0.5093632958801498,0.5318352059925093,0.5263157894736842,0.5225047637821144,0.009561716151432394,13
0.0041700998942057295,0.001129875386874446,0.001602490743001302,0.00030261052675888833,10.0,,,500,ovr,l1,saga,"{'C': 10, 'class_weight': None, 'l1_ratio': None, 'max_iter': 500, 'multi_class': 'ovr', 'penalty': 'l1', 'solver': 'saga'}",0.5093632958801498,0.5318352059925093,0.5263157894736842,0.5225047637821144,0.009561716151432394,13
